Frame,Satellite X (km),Satellite Y (km),Velocity X (km/s),Velocity Y (km/s),Force X (N),Force Y (N),Total Distance (km),Total Velocity (km/s),Total Acceleration (km/s²)
126,-461852.8553250473,-93778.55796802371,-3952.9228490207884,-975.0090784951722,0.014715363284423891,0.003629441814822767,512820.6844302349,4071.3930973879974,0.002435556115470279
127,-465805.7767256221,-94753.56668926965,-3952.9214005748345,-975.0087212459315,0.014484459539626739,0.0035724924063647175,516892.0775273561,4071.3916055358927,0.0023782298981610338
128,-469758.6967003021,-95728.57505882828,-3952.919974680002,-975.0083695586351,0.014258948324877008,0.0035168729631400507,520963.4691326292,4071.3901369106757,0.002322688753202219
129,-473711.6152711159,-96703.58308213268,-3952.9185708136997,-975.0080233043958,0.014038663019888913,0.003462542392404571,525034.8592692813,4071.3886909740963,0.0022688637356646363
130,-477664.5324595853,-97678.59076449096,-3952.917188469361,-975.0076823582782,0.013823443390437715,0.003409461176339421,529106.2479600009,4071.387267204408,0.0022166890715674724
131,-481617.4482867411,-98653.5981110901,-3952.9158271558317,-975.0073465991483,0.013613135296882715,0.0033575913001689587,533177.6352269545,4071.38586509574,0.002166101989027238
132,-485570.3627731379,-99628.60512699964,-3952.91448639679,-975.0070159095297,0.013407590418094223,0.0033068961840773655,537249.0210918033,4071.384484157497,0.00211704255960328
133,-489523.2759388681,-100603.6118171751,-3952.913165730191,-975.0066901754678,0.013206665989861099,0.0032573406186962774,541320.4055757176,4071.383123913789,0.0020694535491536585
134,-493476.1878035759,-101578.61818646149,-3952.9118647077353,-975.0063692863974,0.013010224556917206,0.0032088907039509616,545391.7886993918,4071.3817839028843,0.0020232802775660775
135,-497429.0983864703,-102553.6242395965,-3952.910582894361,-975.0060531350184,0.01281813373778254,0.0031615137910666912,549463.1704830587,4071.380463676683,0.001978470486771802
136,-501382.007706338,-103528.62998121367,-3952.9093198677615,-975.0057416171757,0.012630266001667657,0.0031151784275500497,553534.5509465028,4071.3791628002255,0.0019349742164987739
137,-505334.9157815559,-104503.63541584542,-3952.908075217915,-975.0054346317452,0.012446498456739381,0.0030698543049720254,557605.9301090739,4071.3778808512047,0.0018927436872549336
138,-509287.8226301025,-105478.64054792594,-3952.90684854665,-975.0051320805243,0.012266712649091294,0.0030255122093910086,561677.3079896992,4071.376617419515,0.001851733190073317
139,-513240.7282695697,-106453.64538179408,-3952.905639467213,-975.0048338681269,0.012090794371804919,0.0029821239742642623,565748.684606896,4071.3753721068156,0.0018118989825820758
140,-517193.63271717355,-107428.64992169595,-3952.904447603865,-975.0045399018834,0.011918633483526878,0.0029396624357061244,569820.0599787834,4071.3741445261085,0.0017731991909937371
141,-521146.535989765,-108403.65417178771,-3952.9032725914917,-975.0042500917444,0.011750123736023849,0.002898101389960232,573891.4341230931,4071.3729343013383,0.0017355937176374704
142,-525099.4381038402,-109378.65813613789,-3952.9021140752307,-975.0039643501892,0.0115851626102111,0.0028574155529614248,577962.8070571811,4071.371741067009,0.0016990441536847433
143,-529052.3390755503,-110353.66181873003,-3952.9009717101144,-975.003682592137,0.011423651160182138,0.0028175805218708127,582034.1787980378,4071.370564467818,0.0016635136967409693
144,-533005.2389207111,-111328.6652234649,-3952.8998451607276,-975.0034047348631,0.011265493864796295,0.0027785727384747206,586105.5493622982,4071.369404158296,0.0016289670730018167
145,-536958.1376548118,-112303.66835416282,-3952.898734100879,-975.0031306979176,0.01111059848640862,0.0027403694543450072,590176.9187662521,4071.36825980248,0.0015953704636903982
146,-540911.0352930252,-113278.67121456585,-3952.897638213286,-975.0028604030479,0.01095887593635192,0.002702948697664552,594248.2870258528,4071.367131073578,0.0015626914355126426
147,-544863.9318502144,-114253.67380833997,-3952.8965571892713,-975.0025937741239,0.01081024014680457,0.0026662892416275453,598319.6541567275,4071.366017653665,0.001530898874886675
148,-548816.8273409429,-115228.67613907704,-3952.8954907284765,-975.0023307370665,0.010664607948700102,0.0026303705743297673,602391.0201741849,4071.364919233381,0.0014999629257147398
149,-552769.7217794815,-116203.67821029681,-3952.8944385385807,-975.0020712197795,0.010521898955355014,0.0025951728700690487,606462.3850932247,4071.363835511646,0.0014698549304878335
150,-556722.6151798166,-117178.68002544889,-3952.8934003350355,-975.0018151520834,0.010382035451510866,0.002560676961980971,610533.7489285453,4071.362766195385,0.001440547374520636
151,-560675.5075556574,-118153.68158791454,-3952.892375840807,-975.0015624656518,0.010244942287504635,0.0025268643159392624,614605.1116945522,4071.3617109992624,0.0014120138331327066
